,Image Name,Prediction
99,WWNP-HQ_20190219_224458.wav at 11.574994.png,2
100,WWNP-HQ_20190219_191659.wav at 6.209124.png,2
101,WWNP-HQ_20190219_184907.wav at 4.454105.png,2
102,WWNP-HQ_20190219_210726.wav at 3.138887.png,1
103,WWNP-HQ_20190219_202455.wav at 3.416556.png,1
104,WWNP-HQ_20190219_191659.wav at 1.272003.png,1
105,WWNP-HQ_20190219_191337.wav at 0.474229.png,0
106,WWNP-HQ_20190219_202649.wav at 5.1723.png,1
107,WWNP-HQ_20190219_184700.wav at 4.621196.png,2
108,WWNP-HQ_20190219_191227.wav at 4.172837.png,2
109,WWNP-HQ_20190219_191147.wav at 3.366139.png,2
110,WWNP-HQ_20190219_202455.wav at 4.402638.png,1
111,WWNP-HQ_20190219_223120.wav at 10.650034.png,2
112,WWNP-HQ_20190219_215847.wav at 5.7610980000000005.png,2
113,WWNP-HQ_20190219_184907.wav at 4.27987.png,2
114,WWNP-HQ_20190219_191659.wav at 0.857592.png,1
115,WWNP-HQ_20190219_191354.wav at 5.251023.png,0
116,WWNP-HQ_20190219_210906.wav at 3.934301.png,0
117,WWNP-HQ_20190219_183456.wav at 11.165735.png,2
118,WWNP-HQ_20190219_200709.wav at 4.156631.png,2
119,WWNP-HQ_20190219_224025.wav at 8.022796000000001.png,2
120,WWNP-HQ_20190219_192017.wav at 4.063809.png,1
121,WWNP-HQ_20190218_204517.wav at 5.105135.png,1
122,WWNP-HQ_20190218_201257.wav at 6.951153999999999.png,2
123,WWNP-HQ_20190218_204517.wav at 6.192092.png,1
124,WWNP-HQ_20190219_191354.wav at 3.8701800000000004.png,0
125,WWNP-HQ_20190218_222404.wav at 6.800767.png,2
126,WWNP-HQ_20190219_191337.wav at 4.768193.png,2
127,WWNP-HQ_20190219_184700.wav at 2.267855.png,2
128,WWNP-HQ_20190219_224458.wav at 9.055762.png,2
129,WWNP-HQ_20190219_191227.wav at 13.365557999999998.png,0
130,WWNP-HQ_20190219_184700.wav at 4.074507.png,2
131,WWNP-HQ_20190219_183456.wav at 6.224583999999999.png,2
132,WWNP-HQ_20190219_191354.wav at 4.477422.png,0
133,WWNP-HQ_20190219_213625.wav at 4.7435599999999996.png,1
134,WWNP-HQ_20190219_215847.wav at 7.027819999999999.png,2
135,WWNP-HQ_20190219_221714.wav at 3.460814.png,2
136,WWNP-HQ_20190219_213625.wav at 1.7761049999999998.png,2
137,WWNP-HQ_20190219_191354.wav at 4.9562669999999995.png,0
138,WWNP-HQ_20190219_191227.wav at 2.745721.png,0
139,WWNP-HQ_20190219_224025.wav at 10.303842999999999.png,1
140,WWNP-HQ_20190219_191227.wav at 6.04913.png,2
141,WWNP-HQ_20190219_200726.wav at 6.635617.png,2
142,WWNP-HQ_20190219_183456.wav at 6.066644999999999.png,2
143,WWNP-HQ_20190218_190625.wav at 2.48038.png,2
144,WWNP-HQ_20190219_221742.wav at 3.616939.png,1
145,WWNP-HQ_20190219_213536.wav at 0.187279.png,1
146,WWNP-HQ_20190219_213743.wav at 3.9246589999999997.png,2
147,WWNP-HQ_20190219_192017.wav at 3.682582.png,1
148,WWNP-HQ_20190219_184700.wav at 4.28982.png,2
149,WWNP-HQ_20190219_191227.wav at 1.1397540000000002.png,0
150,WWNP-HQ_20190219_202455.wav at 3.5322489999999998.png,2
151,WWNP-HQ_20190219_194130.wav at 9.460042.png,2
152,WWNP-HQ_20190218_201257.wav at 9.67659.png,2
153,WWNP-HQ_20190219_213743.wav at 5.284204.png,1
154,WWNP-HQ_20190219_224458.wav at 8.569778999999999.png,2
155,WWNP-HQ_20190219_223411.wav at 5.271751.png,2
156,WWNP-HQ_20190219_221714.wav at 2.580788.png,1
157,WWNP-HQ_20190219_191133.wav at 2.526553.png,2
158,WWNP-HQ_20190219_191354.wav at 3.4796980000000004.png,0
159,WWNP-HQ_20190219_202623.wav at 1.8177189999999999.png,1
160,WWNP-HQ_20190219_224458.wav at 8.342316.png,2
161,WWNP-HQ_20190219_223847.wav at 7.388339.png,1
162,WWNP-HQ_20190219_191408.wav at 12.44075.png,2
163,WWNP-HQ_20190219_183456.wav at 11.296999000000001.png,2
164,WWNP-HQ_20190219_224458.wav at 10.431902000000001.png,2
165,WWNP-HQ_20190219_223847.wav at 5.89254.png,2
166,WWNP-HQ_20190219_184510.wav at 12.327377.png,2
167,WWNP-HQ_20190219_200634.wav at 2.867167.png,2
168,WWNP-HQ_20190219_183612.wav at 3.141869.png,0
169,WWNP-HQ_20190219_191133.wav at 3.23049.png,1
170,WWNP-HQ_20190219_184300.wav at 2.92468.png,1
171,WWNP-HQ_20190219_215847.wav at 7.879455999999999.png,2
172,WWNP-HQ_20190219_183456.wav at 7.5610289999999996.png,2
173,WWNP-HQ_20190219_191354.wav at 3.200654.png,0
174,WWNP-HQ_20190219_223847.wav at 5.395734.png,2
175,WWNP-HQ_20190219_215847.wav at 7.653239999999999.png,2
176,WWNP-HQ_20190219_223120.wav at 11.092027.png,1
177,WWNP-HQ_20190219_184907.wav at 5.281187.png,2
178,WWNP-HQ_20190219_184300.wav at 1.488628.png,1
179,WWNP-HQ_20190219_185133.wav at 0.807782.png,1
180,WWNP-HQ_20190219_213459.wav at 2.50074.png,2
181,WWNP-HQ_20190218_201257.wav at 7.344639.png,2
182,WWNP-HQ_20190219_191659.wav at 3.5766190000000004.png,0
183,WWNP-HQ_20190219_213743.wav at 4.0312339999999995.png,2
184,WWNP-HQ_20190218_222404.wav at 4.277653.png,2
185,WWNP-HQ_20190219_191432.wav at 2.248582.png,0
186,WWNP-HQ_20190219_213743.wav at 3.2281299999999997.png,1
187,WWNP-HQ_20190218_190625.wav at 0.678636.png,2
188,WWNP-HQ_20190218_190818.wav at 6.0253559999999995.png,1
189,WWNP-HQ_20190219_213743.wav at 1.0903969999999998.png,1
190,WWNP-HQ_20190219_221556.wav at 0.223985.png,2
191,WWNP-HQ_20190218_201038.wav at 2.819223.png,2
192,WWNP-HQ_20190218_190625.wav at 1.781353.png,2
193,WWNP-HQ_20190219_183456.wav at 7.086651.png,2
194,WWNP-HQ_20190219_213743.wav at 3.447536.png,1
195,WWNP-HQ_20190219_223120.wav at 10.184133000000001.png,2
196,WWNP-HQ_20190219_183456.wav at 11.412803.png,2
197,WWNP-HQ_20190219_202649.wav at 5.36316.png,1
198,WWNP-HQ_20190219_191659.wav at 3.4713800000000004.png,0
199,WWNP-HQ_20190218_222404.wav at 6.911212.png,2
200,WWNP-HQ_20190219_184907.wav at 4.770632.png,2
201,WWNP-HQ_20190219_191303.wav at 4.98773.png,0
202,WWNP-HQ_20190218_201038.wav at 2.513827.png,1
203,WWNP-HQ_20190219_215048.wav at 7.9557.png,2
204,WWNP-HQ_20190219_191319.wav at 2.9127389999999997.png,2
205,WWNP-HQ_20190219_221742.wav at 3.9918339999999994.png,1
206,WWNP-HQ_20190219_191227.wav at 12.258038.png,0
207,WWNP-HQ_20190219_215048.wav at 7.040005000000001.png,2
208,WWNP-HQ_20190218_190818.wav at 5.314405000000001.png,1
209,WWNP-HQ_20190219_200634.wav at 4.391145.png,2
210,WWNP-HQ_20190219_183456.wav at 7.388485.png,2
211,WWNP-HQ_20190219_191354.wav at 5.477131.png,0
212,WWNP-HQ_20190219_213743.wav at 5.697535.png,1
213,WWNP-HQ_20190219_185242.wav at 3.638719.png,1
214,WWNP-HQ_20190219_224025.wav at 9.545328999999999.png,1
215,WWNP-HQ_20190218_190625.wav at 0.48776400000000003.png,1
216,WWNP-HQ_20190219_191529.wav at 7.037406.png,0
217,WWNP-HQ_20190219_184700.wav at 1.956135.png,2
218,WWNP-HQ_20190218_190818.wav at 4.4866470000000005.png,1
219,WWNP-HQ_20190219_191337.wav at 2.284907.png,0
220,WWNP-HQ_20190219_183456.wav at 6.659714999999999.png,2
221,WWNP-HQ_20190219_223120.wav at 10.760291.png,1
222,WWNP-HQ_20190219_191659.wav at 2.39319.png,2
223,WWNP-HQ_20190219_200709.wav at 6.125487000000001.png,2
224,WWNP-HQ_20190219_185242.wav at 0.861842.png,1
