,Epoch,First Head Loss,Second Head Loss
0,1,-0.06285521388053894,-5.3145566198509187e-05
1,2,-0.19460470974445343,-0.01821770891547203
2,3,-0.13884396851062775,-0.09240273386240005
3,4,-0.01482916809618473,-0.172978475689888
4,5,-0.3057188093662262,-0.21188734471797943
5,6,-0.33148670196533203,-0.24002432823181152
6,7,-0.4432978630065918,-0.24718794226646423
7,8,-0.3866008222103119,-0.3486362397670746
8,9,-0.4735450744628906,-0.41247645020484924
9,10,-0.48090675473213196,-0.43551763892173767
